x	cos(x)
0.0	1.0
0.21666156231653746	0.9766205557100867
0.43332312463307493	0.907575419670957
0.6499846869496124	0.7960930657056438
0.8666462492661499	0.6473862847818277
1.0833078115826873	0.46840844069979015
1.2999693738992248	0.26752833852922075
1.5166309362157622	0.05413890858541761
1.7332924985322997	-0.16178199655276473
1.9499540608488373	-0.37013815533991445
2.1666156231653746	-0.5611870653623823
2.383277185481912	-0.7259954919231308
2.5999387477984497	-0.8568571761675893
2.8166003101149872	-0.9476531711828025
3.0332618724315243	-0.9941379571543596
3.249923434748062	-0.9941379571543596
3.4665849970645994	-0.9476531711828025
3.683246559381137	-0.8568571761675892
3.8999081216976745	-0.7259954919231307
4.116569684014212	-0.5611870653623825
4.333231246330749	-0.37013815533991445
4.549892808647287	-0.16178199655276476
4.766554370963824	0.05413890858541758
4.983215933280362	0.267528338529221
5.199877495596899	0.4684084406997903
5.416539057913437	0.6473862847818279
5.6332006202299745	0.796093065705644
5.849862182546511	0.9075754196709569
6.066523744863049	0.9766205557100867
6.283185307179586	1.0
